post_id	sentiment
post_0000	中性
post_0001	消极
post_0002	积极
post_0003	中性
post_0004	积极
post_0005	积极
post_0006	中性
post_0007	中性
post_0008	中性
post_0009	积极
post_0010	积极
post_0011	积极
post_0012	积极
post_0013	中性
post_0014	积极
post_0015	积极
post_0016	积极
post_0017	积极
post_0018	积极
post_0019	中性
post_0020	积极
post_0021	积极
post_0022	积极
post_0023	积极
post_0024	中性
post_0025	中性
post_0026	中性
post_0027	未知
post_0028	中性
post_0029	消极
post_0030	消极
post_0031	积极
post_0032	积极
post_0033	积极
post_0034	积极
post_0035	积极
post_0036	积极
post_0037	中性
post_0038	中性
post_0039	积极
post_0040	中性
post_0041	积极
post_0042	积极
post_0043	积极
post_0044	积极
post_0045	中性
post_0046	积极
post_0047	积极
post_0048	中性
post_0049	消极
post_0050	中性
post_0051	积极
post_0052	消极
post_0053	中性
post_0054	消极
post_0055	消极
post_0056	消极
post_0057	消极
post_0058	消极
post_0059	中性
post_0060	积极
post_0061	积极
post_0062	积极
post_0063	中性
post_0064	积极
post_0065	积极
post_0066	积极
post_0067	消极
post_0068	积极
post_0069	积极
post_0070	未知
post_0071	消极
post_0072	积极
post_0073	积极
post_0074	积极
post_0075	积极
post_0076	中性
post_0077	消极
post_0078	积极
post_0079	积极
post_0080	中性
post_0081	积极
post_0082	积极
post_0083	消极
post_0084	积极
post_0085	积极
post_0086	积极
post_0087	积极
post_0088	积极
post_0089	积极
post_0090	消极
post_0091	中性
post_0092	积极
post_0093	中性
post_0094	中性
post_0095	消极
post_0096	消极
post_0097	消极
post_0098	中性
post_0099	中性
post_0100	消极
post_0101	积极
post_0102	积极
post_0103	积极
post_0104	中性
post_0105	消极
post_0106	积极
post_0107	中性
post_0108	消极
post_0109	消极
post_0110	中性
post_0111	积极
post_0112	消极
post_0113	消极
post_0114	消极
post_0115	积极
post_0116	消极
post_0117	中性
post_0118	中性
post_0119	消极
post_0120	消极
post_0121	积极
post_0122	消极
post_0123	消极
post_0124	积极
post_0125	积极
post_0126	消极
post_0127	消极
post_0128	中性
post_0129	消极
post_0130	消极
post_0131	中性
post_0132	中性
post_0133	积极
post_0134	消极
post_0135	消极
post_0136	消极
post_0137	积极
post_0138	中性
post_0139	消极
post_0140	中性
post_0141	消极
post_0142	消极
post_0143	中性
post_0144	中性
post_0145	中性
post_0146	消极
post_0147	中性
post_0148	积极
post_0149	中性
post_0150	中性
post_0151	积极
post_0152	中性
post_0153	消极
post_0154	积极
post_0155	消极
post_0156	积极
post_0157	积极
post_0158	积极
post_0159	积极
post_0160	积极
post_0161	中性
post_0162	中性
post_0163	中性
post_0164	积极
post_0165	积极
post_0166	中性
post_0167	中性
post_0168	未知
post_0169	积极
post_0170	消极
post_0171	消极
post_0172	积极
post_0173	中性
post_0174	消极
post_0175	中性
post_0176	积极
post_0177	消极
post_0178	消极
post_0179	中性
post_0180	积极
post_0181	积极
post_0182	消极
post_0183	消极
post_0184	中性
post_0185	消极
post_0186	积极
post_0187	消极
post_0188	积极
post_0189	消极
post_0190	积极
post_0191	消极
post_0192	消极
post_0193	积极
post_0194	中性
post_0195	中性
post_0196	中性
post_0197	中性
post_0198	中性
post_0199	消极
