post_id	sentiment
post_0000	消极
post_0001	中性
post_0002	积极
post_0003	消极
post_0004	消极
post_0005	消极
post_0006	消极
post_0007	消极
post_0008	消极
post_0009	消极
post_0010	未知
post_0011	积极
post_0012	消极
post_0013	中性
post_0014	消极
post_0015	消极
post_0016	中性
post_0017	中性
post_0018	消极
post_0019	消极
post_0020	消极
post_0021	消极
post_0022	中性
post_0023	消极
post_0024	中性
post_0025	未知
post_0026	消极
post_0027	消极
post_0028	消极
post_0029	中性
post_0030	消极
post_0031	消极
post_0032	消极
post_0033	中性
post_0034	积极
post_0035	消极
post_0036	中性
post_0037	消极
post_0038	中性
post_0039	消极
post_0040	消极
post_0041	消极
post_0042	中性
post_0043	积极
post_0044	消极
post_0045	消极
post_0046	中性
post_0047	消极
post_0048	消极
post_0049	消极
post_0050	中性
post_0051	消极
post_0052	积极
post_0053	消极
post_0054	消极
post_0055	中性
post_0056	消极
post_0057	消极
post_0058	中性
post_0059	消极
post_0060	消极
post_0061	消极
post_0062	中性
post_0063	积极
post_0064	中性
post_0065	消极
post_0066	积极
post_0067	中性
post_0068	积极
post_0069	积极
post_0070	消极
post_0071	消极
post_0072	积极
post_0073	积极
post_0074	中性
post_0075	消极
post_0076	消极
post_0077	中性
post_0078	积极
post_0079	积极
post_0080	消极
post_0081	消极
post_0082	积极
post_0083	积极
post_0084	消极
post_0085	积极
post_0086	积极
post_0087	积极
post_0088	中性
post_0089	积极
post_0090	积极
post_0091	积极
post_0092	积极
post_0093	中性
post_0094	积极
post_0095	积极
post_0096	消极
post_0097	消极
post_0098	积极
post_0099	消极
post_0100	消极
post_0101	中性
post_0102	消极
post_0103	消极
post_0104	消极
post_0105	消极
post_0106	消极
post_0107	中性
post_0108	积极
post_0109	消极
post_0110	积极
post_0111	消极
post_0112	中性
post_0113	中性
post_0114	消极
post_0115	中性
post_0116	中性
post_0117	消极
post_0118	中性
post_0119	中性
post_0120	消极
post_0121	消极
post_0122	中性
post_0123	积极
post_0124	消极
post_0125	消极
post_0126	消极
post_0127	消极
post_0128	中性
post_0129	消极
post_0130	消极
post_0131	中性
post_0132	消极
post_0133	中性
post_0134	消极
post_0135	消极
post_0136	消极
post_0137	消极
post_0138	消极
post_0139	消极
post_0140	消极
post_0141	消极
post_0142	消极
post_0143	消极
post_0144	消极
post_0145	消极
post_0146	消极
post_0147	中性
post_0148	消极
post_0149	中性
post_0150	消极
post_0151	消极
post_0152	消极
post_0153	积极
post_0154	消极
post_0155	消极
post_0156	消极
post_0157	消极
post_0158	消极
post_0159	消极
post_0160	未知
post_0161	未知
post_0162	消极
post_0163	消极
post_0164	中性
post_0165	消极
post_0166	消极
post_0167	中性
post_0168	积极
post_0169	消极
post_0170	消极
post_0171	积极
post_0172	消极
post_0173	消极
post_0174	积极
post_0175	消极
post_0176	消极
post_0177	消极
post_0178	消极
post_0179	中性
post_0180	积极
post_0181	消极
post_0182	消极
post_0183	消极
post_0184	未知
post_0185	消极
post_0186	中性
post_0187	消极
post_0188	消极
post_0189	中性
post_0190	中性
post_0191	消极
post_0192	消极
post_0193	未知
post_0194	消极
post_0195	消极
post_0196	积极
post_0197	中性
post_0198	消极
post_0199	消极
post_0200	消极
post_0201	消极
post_0202	消极
post_0203	消极
post_0204	消极
post_0205	消极
post_0206	消极
post_0207	消极
post_0208	积极
post_0209	中性
post_0210	消极
post_0211	积极
post_0212	中性
post_0213	消极
post_0214	消极
post_0215	积极
post_0216	积极
post_0217	消极
post_0218	消极
post_0219	积极
post_0220	消极
post_0221	消极
post_0222	中性
post_0223	积极
post_0224	消极
post_0225	积极
post_0226	积极
post_0227	积极
post_0228	积极
post_0229	消极
post_0230	消极
post_0231	消极
post_0232	消极
post_0233	消极
post_0234	积极
post_0235	消极
post_0236	积极
post_0237	消极
post_0238	中性
post_0239	积极
post_0240	中性
post_0241	积极
post_0242	消极
post_0243	中性
post_0244	消极
post_0245	中性
post_0246	消极
post_0247	消极
post_0248	中性
post_0249	消极
